date,Demand Response,Coal,Bioenergy,Distillate,Gas,Hydro,Wind,Solar (Utility),Solar (Rooftop)
1 Jan 2010 12:00 am,—,28,—,0,9,7,0,—,0
1 Jan 2011 12:00 am,—,28,—,1,9,7,0,—,0
1 Jan 2012 12:00 am,—,28,0,1,9,8,2,—,1
1 Jan 2013 12:00 am,—,28,0,1,9,8,2,—,2
1 Jan 2014 12:00 am,—,28,0,1,9,8,3,—,2
1 Jan 2015 12:00 am,—,26,0,1,10,8,3,—,3
1 Jan 2016 12:00 am,—,26,0,1,10,8,4,0,4
1 Jan 2017 12:00 am,—,25,0,1,10,8,4,0,4
1 Jan 2018 12:00 am,—,23,0,1,10,8,4,0,5
1 Jan 2019 12:00 am,—,23,0,1,10,8,5,1,6
1 Jan 2020 12:00 am,—,23,0,1,10,8,7,3,8
1 Jan 2021 12:00 am,—,23,0,1,10,8,7,3,11
1 Jan 2022 12:00 am,—,23,0,1,10,8,8,5,14
1 Jan 2023 12:00 am,—,23,0,1,10,8,8,5,16
1 Jan 2024 12:00 am,—,21,0,1,10,8,8,5,19
1 Jan 2025 12:00 am,1,21,—,—,13,7,13,10,23
1 Jan 2026 12:00 am,1,18,—,—,13,7,14,11,26
1 Jan 2027 12:00 am,1,18,—,—,12,7,21,12,28
1 Jan 2028 12:00 am,1,16,—,—,12,7,25,13,31
1 Jan 2029 12:00 am,1,13,—,—,12,7,31,13,33
1 Jan 2030 12:00 am,2,11,—,—,12,7,39,16,36
1 Jan 2031 12:00 am,2,9,—,—,12,7,44,21,39
1 Jan 2032 12:00 am,2,8,0,—,12,7,45,22,41
1 Jan 2033 12:00 am,2,7,0,—,12,7,47,23,43
1 Jan 2034 12:00 am,2,3,0,—,13,7,49,24,46
1 Jan 2035 12:00 am,2,1,0,—,14,7,56,26,48
1 Jan 2036 12:00 am,2,1,0,—,14,7,58,28,51
1 Jan 2037 12:00 am,2,1,0,—,15,7,59,31,53
1 Jan 2038 12:00 am,2,—,0,—,16,7,60,31,55
1 Jan 2039 12:00 am,2,—,0,—,17,7,60,31,58
1 Jan 2040 12:00 am,3,—,0,—,16,7,61,31,60
1 Jan 2041 12:00 am,3,—,0,—,16,7,61,34,62
1 Jan 2042 12:00 am,3,—,0,—,16,7,61,36,65
1 Jan 2043 12:00 am,3,—,0,—,17,7,62,40,67
1 Jan 2044 12:00 am,3,—,0,—,18,7,61,44,69
1 Jan 2045 12:00 am,3,—,0,—,18,7,63,48,72
1 Jan 2046 12:00 am,3,—,0,—,17,7,65,52,75
1 Jan 2047 12:00 am,3,—,0,—,16,7,65,52,77
1 Jan 2048 12:00 am,3,—,0,—,15,7,65,54,80
1 Jan 2049 12:00 am,3,—,0,—,16,7,68,56,83
1 Jan 2050 12:00 am,3,—,0,—,15,7,69,58,86
1 Jan 2051 12:00 am,3,—,0,—,14,7,68,58,89
1 Jan 2052 12:00 am,3,—,0,—,15,7,68,57,91
