Wind High,,,,,,,,,,,,,,,,
REZ ID,REZ Name,Region,Reference year (Financial year ending),,,,,,,,,,,,,Avg of ref years
,,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Q1,Far North QLD,QLD,43%,46%,47%,49%,48%,43%,46%,49%,49%,46%,44%,42%,42%,46%
Q2,North Qld Clean Energy Hub,QLD,41%,42%,43%,45%,43%,39%,41%,43%,45%,41%,41%,38%,39%,42%
Q3,Northern Qld,QLD,Resource limit of 0 MW,,,,,,,,,,,,,
Q4,Isaac,QLD,32%,32%,34%,37%,34%,33%,34%,34%,39%,33%,36%,35%,34%,34%
Q5,Barcaldine,QLD,33%,31%,35%,34%,35%,32%,32%,33%,36%,31%,32%,31%,30%,33%
Q6,Fitzroy,QLD,37%,38%,37%,37%,37%,35%,36%,35%,41%,34%,38%,36%,35%,37%
Q7,Wide Bay,QLD,30%,30%,30%,28%,29%,28%,28%,29%,31%,27%,29%,29%,29%,29%
Q8,Darling Downs,QLD,38%,37%,37%,35%,38%,36%,35%,37%,39%,36%,38%,40%,38%,37%
Q9,Banana,QLD,30%,30%,30%,29%,30%,28%,29%,30%,32%,28%,30%,30%,28%,30%
N1,North West NSW,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N2,New England,NSW,39%,36%,38%,36%,37%,37%,37%,38%,39%,38%,40%,41%,39%,38%
N3,Central-West Orana,NSW,37%,34%,35%,34%,35%,34%,34%,36%,35%,37%,36%,37%,36%,35%
N4,Broken Hill,NSW,30%,32%,32%,33%,32%,31%,31%,33%,31%,32%,32%,32%,31%,32%
N5,South West NSW,NSW,27%,29%,29%,31%,28%,28%,29%,31%,31%,31%,30%,30%,29%,29%
N6,Wagga Wagga,NSW,27%,27%,26%,28%,27%,26%,26%,28%,28%,28%,27%,27%,27%,27%
N7,Tumut,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N8,Cooma-Monaro,NSW,40%,39%,42%,43%,40%,41%,41%,44%,42%,41%,42%,42%,43%,41%
N9,Hunter-Central Coast,NSW,37%,32%,34%,33%,33%,33%,33%,36%,32%,34%,35%,35%,33%,34%
N12,Illawarra,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
V1,Ovens Murray,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V2,Murray River,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V3,Western Victoria,VIC,38%,41%,39%,43%,39%,39%,39%,41%,40%,43%,42%,43%,40%,41%
V4,South West Victoria,VIC,36%,39%,38%,42%,37%,36%,38%,39%,39%,41%,38%,41%,38%,39%
V5,Gippsland,VIC,37%,38%,37%,40%,37%,36%,38%,38%,38%,41%,40%,40%,37%,38%
V6,Central North Vic,VIC,30%,32%,31%,33%,33%,33%,30%,34%,33%,34%,33%,33%,31%,32%
S1,South East SA,SA,35%,38%,36%,40%,36%,36%,35%,38%,39%,39%,37%,40%,37%,37%
S2,Riverland,SA,26%,28%,28%,31%,27%,28%,27%,31%,30%,30%,29%,30%,28%,29%
S3,Mid-North SA,SA,35%,37%,36%,40%,35%,36%,35%,40%,39%,38%,37%,39%,38%,37%
S4,Yorke Peninsula,SA,33%,34%,33%,39%,34%,35%,33%,38%,38%,36%,35%,38%,36%,36%
S5,Northern SA,SA,Resource limit of 0 MW,,,,,,,,,,,,,
S6,Leigh Creek,SA,41%,41%,41%,42%,40%,39%,38%,40%,39%,39%,40%,39%,39%,40%
S7,Roxby Downs,SA,Resource limit of 0 MW,,,,,,,,,,,,,
S8,Eastern Eyre Peninsula,SA,36%,37%,36%,42%,36%,36%,35%,40%,39%,37%,38%,40%,38%,38%
S9,Western Eyre Peninsula,SA,36%,37%,37%,42%,37%,37%,36%,40%,40%,38%,40%,39%,38%,38%
T1,North East Tasmania,TAS,43%,42%,41%,45%,43%,43%,46%,43%,46%,47%,43%,45%,41%,44%
T2,North West Tasmania,TAS,49%,48%,46%,48%,48%,45%,48%,49%,47%,50%,48%,47%,46%,48%
T3,Central Highlands,TAS,53%,54%,51%,53%,52%,51%,53%,53%,54%,56%,52%,51%,49%,52%
N0,New South Wales Non-REZ,NSW,37%,33%,34%,33%,33%,34%,33%,35%,33%,37%,35%,37%,37%,35%
V0,Victoria Non-REZ,VIC,35%,38%,36%,42%,36%,36%,38%,39%,38%,41%,39%,41%,38%,38%
